"","treatment","cash","accts_amt","stroop_time","income_less20k","log_cash","log_accts_amt","log_stroop_time"
"25","After Payday",10,25,7.73062682151794,1,2.30258509299405,3.2188758248682,2.04518994877074
"26","After Payday",100,2600,7.23454140623411,1,4.60517018598809,7.86326672400957,1.97886697261965
"27","Before Payday",10,8700,7.21360516548157,1,2.30258509299405,9.07107830464268,1.97596884927871
"28","After Payday",NA,NA,7.33646699786186,1,NA,NA,1.99285739130617
"29","After Payday",50,550,7.3746188779672,0,3.91202300542815,6.30991827822652,1.99804422332678
"30","Before Payday",100,10000,7.94129364689191,1,4.60517018598809,9.21034037197618,2.07207618980789
"31","Before Payday",60,80,7.89470402399699,1,4.0943445622221,4.38202663467388,2.06619215796079
"32","After Payday",2,82,7.60113533337911,0,0.693147180559945,4.40671924726425,2.02829762210625
"33","Before Payday",35,600,7.46473218003909,1,3.55534806148941,6.39692965521615,2.0101895535946
"34","Before Payday",0,8,6.90377812584241,0,0,2.07944154167984,1.93206881621988
"35","Before Payday",15,57,7.42832095424334,1,2.70805020110221,4.04305126783455,2.00529985125965
"36","Before Payday",20,NA,7.52056160569191,0,2.99573227355399,NA,2.01764081678118
"37","Before Payday",100,NA,7.52472718556722,0,4.60517018598809,NA,2.01819455556806
"38","After Payday",2,120,7.41511113444964,1,0.693147180559945,4.78749174278205,2.0035199632658
"39","Before Payday",300,1000,7.4636528591315,0,5.7037824746562,6.90775527898214,2.01004495377263
"40","After Payday",10,25000,7.36488872766495,0,2.30258509299405,10.1266311038503,1.99672394154044
"41","Before Payday",300,17000,7.66133615374565,0,5.7037824746562,9.74096862303835,2.03618640114477
"42","Before Payday",100,100,7.67413851618767,0,4.60517018598809,4.60517018598809,2.03785604172541
"43","Before Payday",6,17000,7.59823485215505,0,1.79175946922805,9.74096862303835,2.02791596402123
"44","Before Payday",50,25000,7.48710025350253,1,3.91202300542815,10.1266311038503,2.0131815735025
"45","Before Payday",500,10000,7.07651543617249,0,6.21460809842219,9.21034037197618,1.95678161651807
"46","Before Payday",40,25000,7.69738826155663,1,3.68887945411394,10.1266311038503,2.04088108451195
"47","Before Payday",40,200,7.71519557634989,0,3.68887945411394,5.29831736654804,2.04319183563638
"48","After Payday",22,580,7.76420562465986,0,3.09104245335832,6.36302810354046,2.0495241493275
"49","After Payday",159,6000,7.44394417603811,0,5.06890420222023,8.69951474821019,2.00740083956302
"50","Before Payday",5000,9000,7.67100328207016,0,8.51719319141624,9.10497985631836,2.03744741283134
"51","Before Payday",15,40,7.18113407492638,1,2.70805020110221,3.68887945411394,1.97145731974157
"52","After Payday",75,1100,7.76887631416321,0,4.31748811353631,7.00306545878646,2.05012553540948
"53","Before Payday",250,3000,7.30363647143046,1,5.52146091786225,8.00636756765025,1.98837237089173
"54","After Payday",113,33700,7.46263446410497,0,4.72738781871234,10.4252531163405,2.00990849719692
"55","Before Payday",20,500,7.54991020262241,1,2.99573227355399,6.21460809842219,2.02153566949781
"56","After Payday",200,2000,7.48583803574244,1,5.29831736654804,7.60090245954208,2.01301297362735
"57","After Payday",NA,NA,7.46981100241343,0,NA,NA,2.01086969794292
"58","Before Payday",120,3500,7.68394258618355,0,4.78749174278205,8.1605182474775,2.03913277301264
"59","Before Payday",400,8000,7.56735024849574,1,5.99146454710798,8.98719682066197,2.02384297294962
"60","After Payday",23,700,7.87064562241236,1,3.13549421592915,6.5510803350434,2.06314009494922
"61","Before Payday",175,26000,7.36562642455101,0,5.16478597392351,10.1658518170036,1.99682410054765
"62","After Payday",65,75,7.45067472259204,0,4.17438726989564,4.31748811353631,2.00830459508142
"63","After Payday",350,10000,7.80717572569847,0,5.85793315448346,9.21034037197618,2.05504327562039
"64","After Payday",18,4500,7.85861371954282,1,2.89037175789616,8.41183267575841,2.06161021932638
"65","After Payday",40,2500,7.63524354497592,1,3.68887945411394,7.82404601085629,2.03277483665247
"66","After Payday",100,800,7.54013755473685,1,4.60517018598809,6.68461172766793,2.02024042518726
"67","Before Payday",NA,NA,7.5890250702699,0,NA,NA,2.02670313391743
"68","Before Payday",60,400,7.47629305720329,1,4.0943445622221,5.99146454710798,2.01173708855794
"69","After Payday",50,2,7.52980495492617,1,3.91202300542815,0.693147180559945,2.01886913907609
"70","After Payday",40,700,7.66662308573723,0,3.68887945411394,6.5510803350434,2.03687624277583
"71","Before Payday",12,230,7.56855860352516,1,2.484906649788,5.4380793089232,2.0240026402737
"72","After Payday",5,NA,7.51967730124791,1,1.6094379124341,NA,2.0175232249729
"73","Before Payday",100,10000,7.21591142813365,0,4.60517018598809,9.21034037197618,1.97628850831327
"74","Before Payday",80,7000,7.57955269018809,0,4.38202663467388,8.85366542803745,2.02545418606448
"75","Before Payday",0,54,7.81570270657539,1,0,3.98898404656427,2.05613487749909
"76","After Payday",50,1500,7.29709984858831,1,3.91202300542815,7.3132203870903,1.98747698820204
"77","After Payday",160,415,7.48815687497457,1,5.07517381523383,6.0282785202307,2.01332268913941
"78","After Payday",NA,NA,7.23887239893277,1,NA,NA,1.9794654482642
"79","Before Payday",2000,20000,7.25161688526471,0,7.60090245954208,9.90348755253613,1.98122446265882
"80","After Payday",100,2000,7.5193808277448,1,4.60517018598809,7.60090245954208,2.01748379783583
"81","After Payday",40,1055,7.55333667993546,0,3.68887945411394,6.96129604591017,2.0219894099946
"82","Before Payday",500,1000,7.3410938779513,1,6.21460809842219,6.90775527898214,1.99348786121624
"83","After Payday",500,3000,7.45417699217796,0,6.21460809842219,8.00636756765025,2.00877454536572
"84","After Payday",6,3,7.47909993926684,0,1.79175946922805,1.09861228866811,2.01211245577125
"85","After Payday",10,0,7.58262019356092,1,2.30258509299405,0,2.02585881189722
"86","After Payday",50,300,7.43684933582942,0,3.91202300542815,5.7037824746562,2.00644728278655
"87","After Payday",10,10,7.60603844126066,0,2.30258509299405,2.30258509299405,2.02894246356385
"88","After Payday",3,6000,7.26555237174034,0,1.09861228866811,8.69951474821019,1.98314432603016
"89","Before Payday",53,165,7.69360027710597,0,3.97029191355212,5.10594547390058,2.04038885043386
"90","After Payday",150,22000,7.76936277747154,0,5.01063529409626,9.99879773234045,2.05018815039508
"91","Before Payday",3,0,7.47078895568848,1,1.09861228866811,0,2.01100061012572
"92","Before Payday",0,1375,7.57373390595118,0,0,7.22620901010067,2.02468619629724
"93","After Payday",50,15000,7.60289862751961,1,3.91202300542815,9.61580548008435,2.02852957293626
"94","Before Payday",9,3,7.28170848886172,1,2.19722457733622,1.09861228866811,1.98536551721091
"95","Before Payday",20,1000,7.49366186062495,0,2.99573227355399,6.90775527898214,2.01405757800641
"96","Before Payday",20,120,7.38563151160876,0,2.99573227355399,4.78749174278205,1.99953642507057
"97","Before Payday",500,2000,7.46569140752157,1,6.21460809842219,7.60090245954208,2.01031804659792
"98","Before Payday",20,200,7.59620204567909,0,2.99573227355399,5.29831736654804,2.02764839155352
"99","Before Payday",100,500,7.67839975158374,1,4.60517018598809,6.21460809842219,2.03841115976924
"100","Before Payday",148,450,7.5494130452474,1,4.99721227376411,6.10924758276437,2.0214698178875
"101","Before Payday",10,2600,7.67520980040232,1,2.30258509299405,7.86326672400957,2.03799562865696
"102","After Payday",2,NA,7.64478808641434,0,0.693147180559945,NA,2.03402411975738
"103","After Payday",100,4000,7.55931610862414,0,4.60517018598809,8.29404964010203,2.02278072427732
"104","Before Payday",40,30,7.88486661513646,0,3.68887945411394,3.40119738166216,2.06494530399246
"105","After Payday",20,2100,7.5942808787028,1,2.99573227355399,7.64969262371151,2.02739544804987
"106","After Payday",0,0,7.3608620762825,1,0,0,1.9961770558113
"107","After Payday",NA,NA,7.52980359395345,0,NA,NA,2.01886895833132
"108","After Payday",100,NA,7.80024070541064,0,4.60517018598809,NA,2.05415459288743
"109","Before Payday",20,2500,7.249061246713,1,2.99573227355399,7.82404601085629,1.98087197727091
"110","Before Payday",NA,NA,7.8738021949927,1,NA,NA,2.06354107091983
"111","Before Payday",6,80,7.56614162524541,0,1.79175946922805,4.38202663467388,2.02368324467765
"112","After Payday",0,15000,7.26112600167592,0,0,9.61580548008435,1.98253491346004
"113","After Payday",145,560,7.38318956891696,0,4.97673374242057,6.32793678372919,1.99920573615495
"114","Before Payday",33,22100,7.39135921001434,0,3.49650756146648,10.0033328875058,2.00031164362492
"115","Before Payday",250,12000,7.94573862353961,0,5.52146091786225,9.39266192877014,2.07263576275871
"116","After Payday",115,2150,7.2837305466334,1,4.74493212836325,7.67322312112171,1.98564316868159
"117","After Payday",NA,NA,7.42570175727208,1,NA,NA,2.00494719298663
"118","Before Payday",0,0,7.47084730863571,0,0,0,2.01100842090979
"119","After Payday",60,150,7.4545669456323,0,4.0943445622221,5.01063529409626,2.0088268574124
"120","After Payday",60,1500,7.44207875927289,1,4.0943445622221,7.3132203870903,2.00715021294729
"121","Before Payday",45,560,7.845484405756,0,3.80666248977032,6.32793678372919,2.05993813134769
"122","After Payday",25,2000,7.98736620942752,0,3.2188758248682,7.60090245954208,2.07786106956995
"123","Before Payday",43,380,7.46828778584798,0,3.76120011569356,5.94017125272043,2.01066576080308
"124","Before Payday",73,6000,7.45464860399564,0,4.29045944114839,8.69951474821019,2.00883781149152
"125","After Payday",50,2500,7.61084232727687,0,3.91202300542815,7.82404601085629,2.02957385264403
"126","Before Payday",20,NA,7.77491518855095,0,2.99573227355399,NA,2.05090254978084
"127","After Payday",100,1000,7.44899552067121,0,4.60517018598809,6.90775527898214,2.00807919386106
"128","After Payday",20,150,7.75394337375959,1,2.99573227355399,5.01063529409626,2.04820153637961
"129","Before Payday",60,NA,7.5092013378938,0,4.0943445622221,NA,2.01612911363534
"130","After Payday",50,400,7.52436806758245,0,3.91202300542815,5.99146454710798,2.01814682937871
"131","Before Payday",20,45,7.7121443649133,1,2.99573227355399,3.80666248977032,2.0427962766498
"132","Before Payday",0,0,7.62496502855991,0,0,0,2.03142773606459
"133","Before Payday",50,150,7.65818578004837,0,3.91202300542815,5.01063529409626,2.03577511236497
"134","After Payday",2,6,7.42169046401978,1,0.693147180559945,1.79175946922805,2.00440685657063
"135","Before Payday",100,50,7.21491052707036,0,4.60517018598809,3.91202300542815,1.97614979118849
"136","After Payday",25,300,7.56247158845266,0,3.2188758248682,5.7037824746562,2.02319806645108
"137","After Payday",90,5000,7.41039375464122,0,4.49980967033027,8.51719319141624,2.00288357617437
"138","After Payday",NA,NA,7.56424873073896,1,NA,NA,2.02343303374828
"139","After Payday",200,3500,7.82121991117795,1,5.29831736654804,8.1605182474775,2.05684054126252
"140","After Payday",67,15500,7.55638268589973,1,4.20469261939097,9.64859530290734,2.02239259498193
"141","Before Payday",90,2400,7.34956268469493,0,4.49980967033027,7.78322401633604,1.99464081277367
"142","After Payday",NA,NA,7.28110021352768,0,NA,NA,1.9852819790217
"143","After Payday",200,NA,7.75247644384702,0,5.29831736654804,NA,2.04801233346441
"144","After Payday",200,5000,7.62318911155065,0,5.29831736654804,8.51719319141624,2.03119480072028
"145","After Payday",0,0,7.58002080519994,1,0,0,2.02551594439985
"146","After Payday",100,100,7.51208478212357,0,4.60517018598809,4.60517018598809,2.01651302806746
"147","After Payday",20,NA,7.44702943166097,1,2.99573227355399,NA,2.00781521887069
"148","Before Payday",50,70000,7.25925256808599,0,3.91202300542815,11.1562505210315,1.98227687148251
"149","After Payday",NA,NA,8.51719284057617,1,NA,NA,2.14208680774554
"150","After Payday",20,13000,7.48229321837425,0,2.99573227355399,9.47270463644367,2.0125393249969
"151","Before Payday",20,3000,7.14214410384496,0,2.99573227355399,8.00636756765025,1.96601302592823
"152","After Payday",20,500,7.49136040608088,1,2.99573227355399,6.21460809842219,2.01375041068678
"153","After Payday",90,200,7.25188525517782,1,4.49980967033027,5.29831736654804,1.98126147026023
"154","Before Payday",2000,10,7.4770385324955,0,7.60090245954208,2.30258509299405,2.01183679547454
"155","Before Payday",1,5,7.51718194286029,0,0,1.6094379124341,2.01719132608763
"156","After Payday",100,1000,7.5516871213913,0,4.60517018598809,6.90775527898214,2.02177099808444
"157","After Payday",21,3000,7.24254230658213,0,3.04452243772342,8.00636756765025,1.97997229207781
"158","Before Payday",50,500,7.5476026336352,0,3.91202300542815,6.21460809842219,2.02122998086814
"159","Before Payday",1,1,7.31648263335228,1,0,0,1.99012969791974
"160","After Payday",NA,NA,7.40235043565432,0,NA,NA,2.0017975762173
"161","After Payday",NA,NA,7.67750449975332,0,NA,NA,2.03829455942884
"162","Before Payday",50,20,7.52697133024534,1,3.91202300542815,2.99573227355399,2.0184927471233
"163","Before Payday",260,367,7.71516659855843,1,5.56068163101553,5.90536184805457,2.04318807969195
"164","After Payday",50,1500,7.53469762206078,1,3.91202300542815,7.3132203870903,2.01951870148701
"165","After Payday",3000,30000,7.37020284930865,0,8.00636756765025,10.3089526606443,1.99744522947358
"166","After Payday",700,700,7.82636712988218,1,6.5510803350434,6.5510803350434,2.05749843424965
"167","Before Payday",50,700,7.69241560498873,0,3.91202300542815,6.5510803350434,2.04023485707669
"168","After Payday",40,5000,8.03866076469421,0,3.68887945411394,8.51719319141624,2.08426249776085
"169","Before Payday",0,NA,7.55061650276184,1,0,NA,2.02162921592221
"170","Before Payday",1000,10000,7.36259572704633,1,6.90775527898214,9.21034037197618,1.99641255086891
"171","Before Payday",616,1100,7.67999071876208,0,6.42324696353352,7.00306545878646,2.03861833866433
"172","Before Payday",30,3500,7.29778100053469,0,3.40119738166216,8.1605182474775,1.98757032941584
"173","After Payday",60,0,7.74053746461868,0,4.0943445622221,0,2.04647112506401
"174","After Payday",0,NA,7.38525512814522,1,0,NA,1.9994854621903
"175","After Payday",75,6,7.28254159291585,1,4.31748811353631,1.79175946922805,1.98547992118644
"176","Before Payday",150,4000,7.64555330077807,1,5.01063529409626,8.29404964010203,2.03412421096463
"177","Before Payday",11,600,7.37580534815788,0,2.39789527279837,6.39692965521615,1.99820509601425
"178","Before Payday",45,40000,7.67219036817551,0,3.80666248977032,10.5966347330961,2.0376021506434
"179","After Payday",NA,NA,8.51719284057617,0,NA,NA,2.14208680774554
"180","Before Payday",120,1900,7.24542745947838,1,4.78749174278205,7.54960916515453,1.98037057465031
"181","Before Payday",28,286,7.43743381897608,1,3.3322045101752,5.65599181081985,2.00652587254323
"182","After Payday",30,NA,7.4763102332751,1,3.40119738166216,NA,2.01173938596014
"183","After Payday",80,17000,7.62544908126195,0,4.38202663467388,9.74096862303835,2.03149121666239
"184","Before Payday",0,9,7.43134900927544,1,0,2.19722457733622,2.00570740473579
"185","After Payday",1300,500,7.78849814335505,0,7.17011954344963,6.21460809842219,2.05264804840163
"186","After Payday",50,50,6.55831211805344,1,3.91202300542815,3.91202300542815,1.88073327077169
"187","After Payday",1000,NA,7.52796453237534,0,6.90775527898214,NA,2.01862469084469
"188","After Payday",0,20,7.95929173628489,1,0,2.99573227355399,2.07434001804387
"189","Before Payday",80,200,7.20730896790822,0,4.38202663467388,5.29831736654804,1.97509564555318
"190","Before Payday",500,10000,7.1800711452961,0,6.21460809842219,9.21034037197618,1.97130929182665
"191","Before Payday",5,175,7.72359891732534,0,1.6094379124341,5.16478597392351,2.04428043640877
"192","Before Payday",NA,NA,7.62707330783208,0,NA,NA,2.03170419475674
"193","Before Payday",1000,50000,7.50339462359746,1,6.90775527898214,10.8197782844103,2.01535553462198
"194","Before Payday",NA,NA,7.79563220342,1,NA,NA,2.05356360293108
"195","Before Payday",200,10000,7.62802957495054,0,5.29831736654804,9.21034037197618,2.03182956488726
"196","Before Payday",25,10,7.44799606005351,0,3.2188758248682,2.30258509299405,2.00794501098074
"197","After Payday",75,3000,7.27765024701754,0,4.31748811353631,8.00636756765025,1.98480804184088
"198","Before Payday",86,3200,7.56396183371544,1,4.45434729625351,8.07090608878782,2.02339510500287
"199","After Payday",0,NA,7.85021248459816,0,0,NA,2.06054059952966
"200","After Payday",0,0,7.59802997112274,0,0,0,2.02788899936449
"201","After Payday",34,1800,7.55768802762032,0,3.52636052461616,7.49554194388426,2.02256532696772
"202","Before Payday",120,130,7.70009774963061,0,4.78749174278205,4.86753445045558,2.04123302353628
"203","Before Payday",1200,3000,7.43239600459735,0,7.09007683577609,8.00636756765025,2.00584828381071
"204","Before Payday",14,2000,7.94687538345655,1,2.63905732961526,7.60090245954208,2.07277881788084
"205","Before Payday",5,3,7.72906376918157,1,1.6094379124341,1.09861228866811,2.04498773872876
"206","After Payday",21,200,7.8188424607118,0,3.04452243772342,5.29831736654804,2.05653652067387
"207","Before Payday",300,3000,7.61869463324547,0,5.7037824746562,8.00636756765025,2.03060504705063
"208","After Payday",2000,5000,7.61558469136556,0,7.60090245954208,8.51719319141624,2.03019676493149
"209","Before Payday",290,NA,7.41497513155142,1,5.66988092298052,NA,2.00350162178136
"210","After Payday",85,30000,7.57387690742811,0,4.44265125649032,10.3089526606443,2.02470507735759
"211","After Payday",400,5000,7.46284339825312,0,5.99146454710798,8.51719319141624,2.00993649417632
"212","Before Payday",30,60,7.5360103448232,0,3.40119738166216,4.0943445622221,2.01969290999382
"213","Before Payday",NA,NA,7.28729198376338,0,NA,NA,1.98613200701719
"214","After Payday",150,2800,7.1008764008681,0,5.01063529409626,7.9373746961633,1.96021821317157
"215","Before Payday",0,0,7.50071794788043,1,0,0,2.01499874234484
"216","Before Payday",120,3800,7.55234312017759,0,4.78749174278205,8.24275634571448,2.02185786215664
"217","Before Payday",NA,NA,6.8365184267362,0,NA,NA,1.92227860010985
"218","Before Payday",28,5000,7.19178475936254,1,3.3322045101752,8.51719319141624,1.9729393689354
"219","After Payday",20,30,7.2615784406662,0,2.99573227355399,3.40119738166216,1.98259722127498
"220","After Payday",NA,NA,7.50253120064735,0,NA,NA,2.01524045702382
"221","After Payday",10,800,7.50146715839704,1,2.30258509299405,6.68461172766793,2.01509862253055
"222","Before Payday",300,3500,6.90081849694252,0,5.7037824746562,8.1605182474775,1.93164002731338
"223","After Payday",2,1000,7.51230809092522,0,0.693147180559945,6.90775527898214,2.0165427542339
"224","Before Payday",3,0,7.46970717112223,0,1.09861228866811,0,2.01085579772338
"225","Before Payday",100,700,7.74774831533432,1,4.60517018598809,6.5510803350434,2.04740226119348
"226","Before Payday",NA,NA,7.51585554083188,0,NA,NA,2.01701486114723
"227","After Payday",400,40000,7.85283309221268,0,5.99146454710798,10.5966347330961,2.06087437015091
"228","Before Payday",0,0,8.11080278952917,1,0,0,2.09319685083986
"229","Before Payday",8,1000,7.52069927255313,1,2.07944154167984,6.90775527898214,2.01765912201002
"230","Before Payday",175,1000,7.23417438069979,1,5.16478597392351,6.90775527898214,1.97881623894849
"231","After Payday",147,NA,7.58111282189687,0,4.99043258677874,NA,2.02565999915534
"232","Before Payday",1,1,7.85671225190163,1,0,0,2.06136823037192
"233","Before Payday",5,20,7.11697266499201,0,1.6094379124341,2.99573227355399,1.96248244750493
"234","Before Payday",20,20,7.71016658345858,1,2.99573227355399,2.99573227355399,2.04253979349729
"235","After Payday",5,1100,7.22974193096161,0,1.6094379124341,7.00306545878646,1.97820334133744
"236","After Payday",0,36,7.64792216817538,1,0,3.58351893845611,2.03443399894201
"237","After Payday",1000,1000,6.48916037877401,1,6.90775527898214,6.90775527898214,1.87013315081735
"238","After Payday",20,NA,7.56168385346731,0,2.99573227355399,NA,2.02309389733049
"239","Before Payday",50,10,7.54868469635646,1,3.91202300542815,2.30258509299405,2.02137333568107
"240","After Payday",0,100,7.73831298947334,0,0,4.60517018598809,2.04618370382854
"241","After Payday",20,40,7.44002318382263,0,2.99573227355399,3.68887945411394,2.00687396494534
"242","Before Payday",25,10000,7.08092483878136,0,3.2188758248682,9.21034037197618,1.95740452612119
"243","Before Payday",14,80,7.97840638955434,1,2.63905732961526,4.38202663467388,2.07673869096181
"244","After Payday",200,1500,7.42891411979993,1,5.29831736654804,7.3132203870903,2.00537969997362
"245","After Payday",0,37,7.62620744109154,1,0,3.61091791264422,2.03159066288701
"246","Before Payday",15,NA,7.63612390557925,0,2.70805020110221,NA,2.03289013223516
"247","Before Payday",134,25456,7.82313430309296,0,4.89783979995091,10.1447067505776,2.05708528027806
"248","After Payday",20,800,7.49285310506821,0,2.99573227355399,6.68461172766793,2.01394964690177
"249","After Payday",28,0,7.82902350028356,0,3.3322045101752,0,2.05783778961798
"250","After Payday",45,NA,7.52739283442497,0,3.80666248977032,NA,2.01854874472973
"251","Before Payday",NA,NA,7.4186725517114,1,NA,NA,2.00400013978792
"252","After Payday",300,10000,7.28040111064911,0,5.7037824746562,9.21034037197618,1.98518595830741
"253","After Payday",20,7000,7.13024416565895,0,2.99573227355399,8.85366542803745,1.96434547867282
"254","Before Payday",7,100,7.57209320863088,1,1.94591014905531,4.60517018598809,2.02446954291617
"255","Before Payday",20,3200,7.13516394297282,1,2.99573227355399,8.07090608878782,1.96503522795604
"256","After Payday",30,1400,7.76861186822255,1,3.40119738166216,7.24422751560335,2.05009149568084
"257","After Payday",25,100,7.41363667448362,0,3.2188758248682,4.60517018598809,2.00332109819777
"258","Before Payday",0,200,7.46111742655436,1,0,5.29831736654804,2.00970519208076
"259","After Payday",25,200,7.78282642364502,0,3.2188758248682,5.29831736654804,2.05191956574282
"260","After Payday",100,60000,7.53777397672335,0,4.60517018598809,11.0020998412042,2.01992690988006
"261","Before Payday",300,1200,7.60110937555631,0,5.7037824746562,7.09007683577609,2.02829420710757
"262","After Payday",20,35000,7.7161179704869,0,2.99573227355399,10.4631033404715,2.04331138399956
"263","Before Payday",25,100,7.54031271630145,0,3.2188758248682,4.60517018598809,2.02026365547037
"264","After Payday",8,NA,7.41589378317197,1,2.07944154167984,NA,2.00362550550348
"265","Before Payday",30,5000,7.63163541754087,0,3.40119738166216,8.51719319141624,2.0323021627666
"266","After Payday",12,1000,7.8145353893439,1,2.484906649788,6.90775527898214,2.05598551096653
"267","Before Payday",25,160,7.67070744434993,1,3.2188758248682,5.07517381523383,2.03740884637347
"268","After Payday",8,5000,7.24656016627948,0,2.07944154167984,8.51719319141624,1.98052689645139
"269","Before Payday",40,5000,7.42410825689634,0,3.68887945411394,8.51719319141624,2.00473257739487
"270","After Payday",2,NA,7.33687154452006,1,0.693147180559945,NA,1.99291253167619
"271","After Payday",65,12500,7.47844176491102,0,4.17438726989564,9.43348392329039,2.01202445008566
"272","After Payday",36,6000,5.91734345753988,0,3.58351893845611,8.69951474821019,1.77788760790144
"273","Before Payday",5,38,7.72308473785718,1,1.6094379124341,3.63758615972639,2.04421386166952
"274","Before Payday",120,3000,7.42968908945719,1,4.78749174278205,8.00636756765025,2.005484012559
"275","Before Payday",35,6000,7.45566042264303,0,3.55534806148941,8.69951474821019,2.00897353217271
"276","Before Payday",0,2500,7.37366299827894,0,0,7.82404601085629,1.9979145974222
"277","After Payday",40,13000,7.58110160628955,0,3.68887945411394,9.47270463644367,2.02565851973986
"278","After Payday",20,12000,7.41091836492221,1,2.99573227355399,9.39266192877014,2.00295436751552
"279","After Payday",150,3,7.94312720497449,1,5.01063529409626,1.09861228866811,2.0723070522495
"280","Before Payday",7,100,7.72450997432073,0,1.94591014905531,4.60517018598809,2.04439838702691
"281","After Payday",1,1200,7.50780739386876,0,0,7.09007683577609,2.01594346494139
"282","After Payday",40,4000,7.0669186313947,0,3.68887945411394,8.29404964010203,1.95542454776026
"283","After Payday",NA,NA,7.27580618858337,0,NA,NA,1.984554623218
"284","Before Payday",50,1500,7.09101222952207,1,3.91202300542815,7.3132203870903,1.95882809897445
"285","Before Payday",5,2,7.32025348146756,1,1.6094379124341,0.693147180559945,1.99064495598945
"286","Before Payday",20,20,7.44351468483607,0,2.99573227355399,2.99573227355399,2.00734314117323
"287","Before Payday",90,50,7.49453076720238,0,4.49980967033027,3.91202300542815,2.01417352348429
"288","Before Payday",1100,1000,7.16446006298065,1,7.00306545878646,6.90775527898214,1.96913270086638
"289","After Payday",28,4500,7.10262209177017,0,3.3322045101752,8.41183267575841,1.96046402456962
"290","Before Payday",80,20000,7.50077101588249,0,4.38202663467388,9.90348755253613,2.01500581737615
"291","After Payday",20,5600,7.38286137580872,0,2.99573227355399,8.63052187672324,1.99916128376757
"292","Before Payday",100,100,7.45448354880015,0,4.60517018598809,4.60517018598809,2.00881567000215
"293","After Payday",50,2000,7.56887023647626,1,3.91202300542815,7.60090245954208,2.02404381410242
"294","After Payday",150,3000,7.3598743279775,1,5.01063529409626,8.00636756765025,1.99604285759195
"295","After Payday",NA,NA,7.42382163802783,1,NA,NA,2.00469397014516
"296","Before Payday",NA,NA,7.28618962566058,0,NA,NA,1.98598072427852
"297","After Payday",NA,NA,7.46458863218625,1,NA,NA,2.01017032326863
"298","After Payday",200,200,7.25927470127742,0,5.29831736654804,5.29831736654804,1.98227992044071
"299","After Payday",0,1000,7.51733752091726,0,0,6.90775527898214,2.01721202220065
"300","After Payday",37,500,7.72001906236013,1,3.61091791264422,6.21460809842219,2.04381683325127
"301","Before Payday",20,260,7.70697011550268,1,2.99573227355399,5.56068163101553,2.04212512920986
"302","Before Payday",25,2000,7.62514837582906,0,3.2188758248682,7.60090245954208,2.03145178142927
"303","Before Payday",25,1000,7.83544637759527,0,3.2188758248682,6.90775527898214,2.05865784643724
"304","Before Payday",NA,NA,7.72286851207415,1,NA,NA,2.04418586394357
"305","After Payday",100,15000,7.11341761549314,0,4.60517018598809,9.61580548008435,1.96198280561138
"306","After Payday",NA,NA,7.57268772522608,1,NA,NA,2.02454805400169
"307","Before Payday",20,10,7.52686006824176,0,2.99573227355399,2.30258509299405,2.01847796523813
"308","Before Payday",40,450,7.57582980394363,1,3.68887945411394,6.10924758276437,2.02496289047088
