"","year","unitid","sex","ftpt","number_applied","number_admitted","number_enrolled","student_faculty_ratio","institution_level","subcohort","class_level","fed_aid_type","adj_cohort","completers_150pct","completion_rate_150pct","pell_adj_cohort","pell_6yr","total_adj_cohort","total_6yr"
"117",2015,105525,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",2675,360,0,1463,161,2675,360
"118",2015,105534,"Total","Full-time",NA,NA,NA,25,"Four or more years","Total","First-time","Total",1546,1201,0,1115,895,1546,1201
"119",2015,105543,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",851,568,0,682,506,851,568
"120",2015,105589,"Total","Full-time",NA,NA,35,9,"Four or more years","Total","First-time","Total",71,22,0,26,8,71,22
"121",2015,105659,"Total","Full-time",NA,NA,NA,34,"Less than four years","Total","First-time","Total",600,423,0,484,331,600,423
"122",2015,105668,"Total","Full-time",NA,NA,NA,30,"Less than four years","Total","First-time","Total",172,8,0,142,5,172,8
"123",2015,105677,"Total","Full-time",NA,NA,NA,6,"Less than four years","Total","First-time","Total",23,17,0,9,7,23,17
"124",2015,105701,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",28,14,0,23,9,28,14
"125",2015,105747,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",898,213,0,311,71,898,213
"126",2015,105792,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",439,76,0,325,56,439,76
"127",2015,105899,"Total","Full-time",NA,NA,121,16,"Four or more years","Total","First-time","Total",73,26,0,27,7,73,26
"128",2015,105987,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",346,271,0,299,237,346,271
"129",2015,106041,"Total","Full-time",NA,NA,NA,29,"Less than four years","Total","First-time","Total",1029,617,0,746,434,1029,617
"130",2015,106102,"Total","Full-time",NA,NA,NA,16,"Four or more years","Total","First-time","Total",308,35,0,225,25,308,35
"131",2015,106111,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",32,10,0,26,6,32,10
"132",2015,106148,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",440,99,0,255,46,440,99
"133",2015,106245,"Total","Full-time",NA,NA,815,15,"Four or more years","Total","First-time","Total",683,208,0,480,125,683,208
"134",2015,106263,"Total","Full-time",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2015,106281,"Total","Full-time",NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2015,106306,"Total","Full-time",NA,NA,NA,24,"Four or more years","Total","First-time","Total",360,35,0,293,1,360,35
"137",2015,106315,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",21,12,0,21,12,21,12
"138",2015,106324,"Total","Full-time",NA,NA,NA,7,"Less than four years","Total","First-time","Total",28,18,0,18,10,28,18
"139",2015,106342,"Total","Full-time",NA,NA,211,15,"Four or more years","Total","First-time","Total",198,78,0,107,36,198,78
"140",2015,106351,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",26,18,0,26,18,26,18
"141",2015,106360,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",32,16,0,28,12,32,16
"142",2015,106397,"Total","Full-time",NA,NA,4871,19,"Four or more years","Total","First-time","Total",3774,2433,0,892,460,3774,2433
"143",2015,106412,"Total","Full-time",NA,NA,671,15,"Four or more years","Total","First-time","Total",780,184,0,641,131,780,184
"144",2015,106449,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",776,268,0,452,141,776,268
"145",2015,106458,"Total","Full-time",NA,NA,1542,17,"Four or more years","Total","First-time","Total",1659,754,0,840,298,1659,754
"146",2015,106467,"Total","Full-time",NA,NA,1938,19,"Four or more years","Total","First-time","Total",1681,595,0,1090,366,1681,595
"147",2015,106485,"Total","Full-time",NA,NA,NA,14,"Four or more years","Total","First-time","Total",689,152,0,520,122,689,152
"148",2015,106494,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",41,20,0,33,15,41,20
"149",2015,106546,"Total","Full-time",NA,NA,5,8,"Less than four years","Total","First-time","Total",37,12,0,23,7,37,12
"150",2015,106625,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",345,86,0,250,46,345,86
"151",2015,106704,"Total","Full-time",NA,NA,1986,17,"Four or more years","Total","First-time","Total",1828,762,0,839,262,1828,762
"152",2015,106713,"Total","Full-time",NA,NA,108,11,"Four or more years","Total","First-time","Total",151,44,0,73,19,151,44
"153",2015,106795,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",255,110,0,151,70,255,110
"154",2015,106810,"Total","Full-time",NA,NA,NA,10,"Four or more years","Total","First-time","Total",52,15,0,42,15,52,15
"155",2015,106829,"Total","Full-time",NA,NA,NA,6,"Less than four years","Total","First-time","Total",85,34,0,83,33,85,34
"156",2015,106883,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",224,40,0,191,32,224,40
"157",2015,106892,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",377,208,0,335,168,377,208
"158",2015,106908,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",132,84,0,96,55,132,84
"159",2015,106980,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",410,98,0,325,96,410,98
"160",2015,106999,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",259,116,0,187,72,259,116
"161",2015,107044,"Total","Full-time",NA,NA,984,16,"Four or more years","Total","First-time","Total",988,630,0,250,213,988,630
"162",2015,107071,"Total","Full-time",NA,NA,758,15,"Four or more years","Total","First-time","Total",797,268,0,502,149,797,268
"163",2015,107080,"Total","Full-time",NA,NA,395,11,"Four or more years","Total","First-time","Total",403,279,0,104,62,403,279
"164",2015,107099,"Total","Full-time",NA,NA,NA,9,"Less than four years","Total","First-time","Total",9,7,0,7,5,9,7
"165",2015,107123,"Total","Full-time",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2015,107141,"Total","Full-time",NA,NA,358,15,"Four or more years","Total","First-time","Total",322,208,0,125,70,322,208
"167",2015,107211,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",29,18,0,27,16,29,18
"168",2015,107220,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",190,76,0,157,64,190,76
"169",2015,107293,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",59,40,0,49,35,59,40
"170",2015,107318,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",238,33,0,203,24,238,33
"171",2015,107327,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",222,58,0,90,20,222,58
"172",2015,107363,"Total","Full-time",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2015,107442,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",46,29,0,44,27,46,29
"174",2015,107460,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",375,110,0,263,72,375,110
"175",2015,107488,"Total","Full-time",NA,NA,NA,5,"Less than four years","Total","First-time","Total",223,123,0,96,4,223,123
"176",2015,107512,"Total","Full-time",NA,NA,412,13,"Four or more years","Total","First-time","Total",450,317,0,134,80,450,317
"177",2015,107521,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",120,33,0,91,26,120,33
"178",2015,107549,"Total","Full-time",NA,NA,NA,14,"Less than four years","Total","First-time","Total",176,59,0,160,45,176,59
"179",2015,107558,"Total","Full-time",NA,NA,210,13,"Four or more years","Total","First-time","Total",204,85,0,114,35,204,85
"180",2015,107585,"Total","Full-time",NA,NA,482,24,"Less than four years","Total","First-time","Total",467,141,0,295,76,467,141
"181",2015,107600,"Total","Full-time",NA,NA,NA,15,"Four or more years","Total","First-time","Total",178,72,0,133,47,178,72
"182",2015,107619,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",198,57,0,160,42,198,57
"183",2015,107637,"Total","Full-time",NA,NA,NA,16,"Less than four years","Total","First-time","Total",252,28,0,215,19,252,28
"184",2015,107655,"Total","Full-time",NA,NA,NA,18,"Less than four years","Total","First-time","Total",20,13,0,17,12,20,13
"185",2015,107664,"Total","Full-time",NA,NA,NA,21,"Less than four years","Total","First-time","Total",1053,191,0,661,93,1053,191
"186",2015,107725,"Total","Full-time",NA,NA,NA,17,"Less than four years","Total","First-time","Total",235,57,0,188,43,235,57
"187",2015,107743,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",137,39,0,117,30,137,39
"188",2015,107789,"Total","Full-time",NA,NA,NA,20,"Less than four years","Total","First-time","Total",34,28,0,26,21,34,28
"189",2015,107831,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",29,14,0,25,14,29,14
"190",2015,107840,"Total","Full-time",NA,NA,NA,22,"Less than four years","Total","First-time","Total",23,2,0,23,2,23,2
"191",2015,107877,"Total","Full-time",NA,NA,128,14,"Four or more years","Total","First-time","Total",159,56,0,86,28,159,56
"192",2015,107974,"Total","Full-time",NA,NA,NA,13,"Less than four years","Total","First-time","Total",161,40,0,114,28,161,40
"193",2015,107983,"Total","Full-time",NA,NA,786,17,"Four or more years","Total","First-time","Total",643,227,0,429,146,643,227
"194",2015,107992,"Total","Full-time",NA,NA,NA,26,"Less than four years","Total","First-time","Total",207,103,0,137,37,207,103
"195",2015,108056,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2015,108065,"Total","Full-time",NA,NA,NA,12,"Less than four years","Total","First-time","Total",12,11,0,12,11,12,11
"197",2015,108092,"Total","Full-time",NA,NA,941,19,"Four or more years","Total","First-time","Total",1337,341,0,856,236,1337,341
"198",2015,108232,"Total","Full-time",NA,NA,NA,15,"Four or more years","Total","First-time","Total",1012,372,0,471,129,1012,372
"199",2015,108250,"Total","Full-time",NA,NA,45,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2015,108269,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2015,108348,"Total","Full-time",NA,NA,NA,5,"Less than four years","Total","First-time","Total",70,51,0,45,45,70,51
"202",2015,108649,"Total","Full-time",NA,NA,NA,19,"Less than four years","Total","First-time","Total",83,60,0,74,56,83,60
"203",2015,108667,"Total","Full-time",NA,NA,NA,28,"Less than four years","Total","First-time","Total",172,51,0,109,34,172,51
"204",2015,108807,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",905,254,0,496,126,905,254
"205",2015,108852,"Total","Full-time",NA,NA,144,13,"Less than four years","Total","First-time","Total",134,81,0,47,44,134,81
"206",2015,108861,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2015,108870,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2015,108977,"Total","Full-time",NA,NA,NA,25,"Less than four years","Total","First-time","Total",27,17,0,25,17,27,17
"209",2015,109040,"Total","Full-time",NA,NA,NA,34,"Less than four years","Total","First-time","Total",642,460,0,597,425,642,460
"210",2015,109086,"Total","Full-time",NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",2015,109208,"Total","Full-time",NA,NA,NA,27,"Less than four years","Total","First-time","Total",1334,333,0,741,155,1334,333
"212",2015,109350,"Total","Full-time",NA,NA,NA,23,"Four or more years","Total","First-time","Total",1009,289,0,582,95,1009,289
"213",2015,109651,"Total","Full-time",NA,NA,180,9,"Four or more years","Total","First-time","Total",130,95,0,53,35,130,95
"214",2015,109721,"Total","Full-time",NA,NA,NA,28,"Less than four years","Total","First-time","Total",474,287,0,434,280,474,287
"215",2015,109730,"Total","Full-time",NA,NA,NA,15,"Less than four years","Total","First-time","Total",197,147,0,186,143,197,147
"216",2015,109785,"Total","Full-time",NA,NA,1198,11,"Four or more years","Total","First-time","Total",1192,837,0,349,238,1192,837
"217",2015,109819,"Total","Full-time",NA,NA,NA,31,"Four or more years","Total","First-time","Total",1543,263,0,918,125,1543,263
"218",2015,109907,"Total","Full-time",NA,NA,NA,29,"Less than four years","Total","First-time","Total",237,33,0,157,21,237,33
"219",2015,109934,"Total","Full-time",NA,NA,NA,11,"Less than four years","Total","First-time","Total",44,37,0,39,33,44,37
"220",2015,110060,"Total","Full-time",NA,NA,NA,10,"Four or more years","Total","First-time","Total",32,13,0,15,5,32,13
"221",2015,110097,"Total","Full-time",NA,NA,827,15,"Four or more years","Total","First-time","Total",877,630,0,389,278,877,630
"222",2015,110185,"Total","Full-time",NA,NA,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",2015,110194,"Total","Full-time",NA,NA,NA,10,"Less than four years","Total","First-time","Total",270,222,0,223,181,270,222
"224",2015,110219,"Total","Full-time",NA,NA,NA,30,"Four or more years","Total","First-time","Total",56,10,0,49,9,56,10
"225",2015,110246,"Total","Full-time",NA,NA,NA,23,"Less than four years","Total","First-time","Total",1270,382,0,736,190,1270,382
"226",2015,110307,"Total","Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2015,110316,"Total","Full-time",NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
